temperature,rainfall,humidity,ph,nitrogen,phosphorus,potassium,light_intensity,soil_type,season
16.6,753.9,33.3,7.7,157.0,343.8,162.2,279.4,Loam,Spring
18.1,704.6,34.6,7.5,157.8,333.4,161.7,258.8,Loam,Spring
20.0,650.1,34.3,7.4,156.8,332.0,162.1,272.0,Loam,Fall
21.9,727.1,33.6,7.4,163.4,346.1,154.2,303.2,Loam,Fall
17.9,753.9,35.3,7.5,159.2,346.7,160.7,334.2,Loam,Spring
19.8,804.6,36.9,7.4,155.3,341.4,160.3,289.1,Loam,Fall
22.0,794.7,33.4,7.9,158.6,341.1,160.5,309.9,Loam,Fall
19.8,725.2,35.8,7.5,159.6,348.9,160.3,307.4,Loam,Fall
18.7,779.6,32.0,7.3,156.4,336.8,157.9,266.8,Loam,Fall
17.0,703.4,35.4,7.4,166.5,343.9,159.0,223.6,Loam,Spring
18.4,691.9,37.0,7.5,163.2,335.0,158.3,306.9,Loam,Fall
18.9,656.1,35.7,7.4,155.9,340.8,158.6,220.1,Loam,Fall
19.9,798.0,38.1,7.4,155.1,339.3,159.2,241.6,Loam,Fall
20.9,709.6,37.2,7.6,164.1,349.2,159.3,242.6,Loam,Fall
21.2,702.8,36.1,7.2,155.5,342.4,161.8,305.3,Loam,Fall
18.7,705.0,35.5,7.5,162.1,341.5,161.5,231.3,Loam,Spring
20.8,648.6,34.9,7.5,155.8,339.6,160.0,278.7,Loam,Spring
19.2,560.3,34.4,7.6,162.4,346.5,162.2,269.5,Loam,Spring
19.0,644.1,35.0,7.5,164.7,341.7,167.8,224.4,Loam,Fall
19.5,692.8,35.8,7.4,158.1,338.4,157.8,266.2,Loam,Spring
19.5,655.4,35.7,7.5,163.8,348.4,162.4,260.6,Loam,Spring
16.4,787.3,34.5,7.4,160.4,345.5,161.5,276.4,Loam,Fall
23.5,678.5,35.2,7.3,165.1,336.7,161.2,259.5,Loam,Fall
19.0,701.7,36.3,7.5,159.8,337.0,157.8,281.7,Loam,Fall
18.6,652.3,34.4,7.4,157.3,338.7,158.7,250.3,Loam,Fall
20.1,716.0,35.3,7.4,156.3,348.8,161.7,299.1,Loam,Fall
19.7,743.6,35.5,7.4,153.9,340.6,155.1,266.7,Loam,Spring
22.6,600.2,35.5,7.6,161.8,337.2,157.3,328.5,Loam,Spring
20.0,729.0,37.4,7.5,165.7,339.5,162.5,234.7,Loam,Fall
18.8,823.3,36.0,7.6,153.3,341.4,158.5,247.4,Loam,Fall
23.0,751.0,31.9,7.6,161.0,343.1,156.2,264.8,Loam,Fall
19.2,698.1,34.3,7.7,157.7,330.7,163.7,300.7,Loam,Spring
20.8,732.3,34.9,7.5,158.1,337.9,158.6,285.9,Loam,Spring
21.2,750.7,38.1,7.3,164.0,357.3,154.2,263.0,Loam,Spring
19.5,698.1,34.2,7.5,160.6,346.9,166.1,262.2,Loam,Fall
21.4,658.1,34.9,7.4,158.2,345.9,160.1,316.3,Loam,Spring
17.2,633.5,37.5,7.6,156.9,342.0,164.4,273.1,Loam,Fall
20.1,604.6,34.4,7.5,165.9,338.6,163.8,252.2,Loam,Fall
20.9,681.7,34.8,7.3,161.2,344.4,159.1,269.7,Loam,Fall
23.1,621.2,36.8,7.4,159.8,336.9,156.9,326.6,Loam,Fall
19.9,730.0,32.4,7.4,159.0,336.3,156.7,323.8,Loam,Spring
20.0,696.1,33.6,7.4,157.0,347.1,160.6,293.9,Loam,Spring
18.6,664.8,36.4,7.6,159.0,350.8,164.3,218.0,Loam,Fall
19.8,625.9,34.4,7.8,159.9,348.2,161.4,300.0,Loam,Spring
20.5,714.2,32.7,7.7,158.3,335.1,158.1,305.7,Loam,Fall
26.1,898.0,46.1,6.3,153.0,82.6,178.1,402.1,Sandy Loam,Spring
21.5,1028.5,58.6,6.4,168.3,92.9,165.6,350.7,Sandy Loam,Spring
18.8,1064.7,52.4,6.3,147.0,79.6,181.0,405.3,Sandy Loam,Spring
19.1,1002.1,51.2,6.2,158.7,86.7,181.6,318.0,Sandy Loam,Spring
19.5,873.3,50.9,6.3,167.2,85.1,181.8,396.5,Sandy Loam,Spring
23.8,926.0,45.9,6.4,165.1,96.0,172.3,386.4,Sandy Loam,Spring
23.4,1053.4,50.5,6.5,155.9,86.0,170.9,404.7,Sandy Loam,Spring
26.0,967.9,47.0,6.3,159.5,71.5,176.7,435.8,Sandy Loam,Spring
26.4,1072.2,46.0,6.4,162.4,58.4,195.4,409.8,Sandy Loam,Spring
22.3,999.7,49.5,6.3,152.1,83.9,188.2,379.7,Sandy Loam,Spring
24.5,882.2,53.0,6.3,157.0,108.0,186.2,457.3,Sandy Loam,Spring
24.6,988.9,48.6,6.2,154.6,90.7,163.6,349.8,Sandy Loam,Spring
29.2,985.3,52.2,6.2,154.3,85.2,184.4,358.7,Sandy Loam,Spring
22.2,980.1,51.9,6.4,155.9,95.0,189.7,406.7,Sandy Loam,Spring
24.3,946.8,58.2,6.3,152.5,97.4,178.8,344.0,Sandy Loam,Spring
20.5,947.0,50.3,6.5,167.5,90.4,178.1,351.0,Sandy Loam,Spring
20.5,1034.5,48.3,6.5,164.3,84.2,173.6,396.8,Sandy Loam,Spring
24.9,927.4,51.2,6.4,156.7,100.0,174.7,383.5,Sandy Loam,Spring
20.8,1030.0,53.5,6.4,160.5,86.7,180.7,439.8,Sandy Loam,Spring
22.9,870.7,50.2,6.4,161.9,100.7,182.1,418.8,Sandy Loam,Spring
20.8,975.9,53.0,6.1,160.2,64.5,176.2,381.0,Sandy Loam,Spring
20.3,1030.8,46.9,6.5,154.7,84.4,177.6,357.1,Sandy Loam,Spring
23.2,995.0,49.9,6.2,165.5,88.0,186.5,353.5,Sandy Loam,Spring
28.8,972.8,52.0,6.5,157.9,103.3,173.3,448.6,Sandy Loam,Spring
18.7,830.9,51.5,6.4,167.5,85.5,190.3,398.6,Sandy Loam,Spring
20.8,903.9,49.4,6.5,166.3,82.3,185.1,399.7,Sandy Loam,Spring
21.0,1080.7,42.4,6.4,162.8,101.4,177.4,416.8,Sandy Loam,Spring
20.8,1036.2,44.0,6.4,166.8,87.0,177.8,432.4,Sandy Loam,Spring
22.3,1050.5,45.1,6.4,163.8,82.6,194.8,461.2,Sandy Loam,Spring
21.3,1081.3,50.4,6.3,153.9,82.2,175.0,405.6,Sandy Loam,Spring
24.5,901.5,55.7,6.3,166.1,91.3,179.0,428.4,Sandy Loam,Spring
18.8,983.3,51.6,6.4,165.9,107.9,178.1,472.0,Sandy Loam,Spring
22.4,1027.9,52.3,6.3,159.7,75.7,187.7,425.2,Sandy Loam,Spring
23.7,1136.3,59.7,6.2,167.0,89.1,183.5,420.3,Sandy Loam,Spring
24.1,1007.2,43.3,6.3,155.5,96.1,181.2,463.7,Sandy Loam,Spring
27.1,803.1,49.2,6.3,159.1,72.2,175.8,443.5,Sandy Loam,Spring
26.3,1003.4,49.6,6.3,157.1,91.9,180.0,418.5,Sandy Loam,Spring
20.5,1069.7,50.6,6.3,172.8,96.8,181.0,423.3,Sandy Loam,Spring
24.5,996.0,52.0,6.4,171.3,101.9,179.2,395.9,Sandy Loam,Spring
23.4,1036.7,52.3,6.3,161.9,103.7,184.6,354.6,Sandy Loam,Spring
25.2,910.8,50.6,6.4,164.7,93.3,176.7,372.8,Sandy Loam,Spring
24.7,1055.0,50.4,6.3,152.8,85.1,186.7,349.3,Sandy Loam,Spring
22.1,1127.8,51.2,6.1,158.4,90.5,180.7,398.8,Sandy Loam,Spring
21.1,1099.0,48.0,6.2,164.9,77.1,171.3,371.2,Sandy Loam,Spring
22.9,1049.5,54.7,6.3,166.7,68.2,180.4,378.6,Sandy Loam,Spring
21.8,665.8,98.9,6.4,113.6,162.7,91.4,128.5,Sandy Loam,Spring
24.0,701.9,98.9,6.7,122.1,159.0,102.5,120.2,Sandy Loam,Spring
22.2,704.6,98.7,6.5,124.1,152.4,93.1,118.4,Sandy Loam,Spring
17.2,726.0,98.8,6.8,116.6,175.8,98.0,122.9,Sandy Loam,Spring
17.7,724.4,98.5,6.5,118.7,158.0,112.5,125.0,Sandy Loam,Spring
23.5,728.7,98.9,6.2,123.3,160.1,98.6,131.5,Sandy Loam,Fall
21.8,719.0,98.7,6.3,122.4,159.1,102.5,120.4,Sandy Loam,Fall
19.9,720.9,99.0,6.6,123.6,157.5,115.4,123.3,Sandy Loam,Fall
19.1,747.3,99.4,6.8,120.6,153.4,95.0,122.5,Sandy Loam,Fall
18.8,684.1,99.1,6.4,129.6,167.4,109.4,125.4,Sandy Loam,Fall
21.9,706.1,98.7,6.7,106.7,174.5,103.9,132.2,Sandy Loam,Spring
19.4,641.7,99.0,6.4,127.7,164.5,97.2,126.3,Sandy Loam,Spring
18.2,686.4,99.0,6.4,119.6,156.6,105.3,115.1,Sandy Loam,Spring
19.5,682.1,98.6,6.6,112.4,157.5,94.9,122.5,Sandy Loam,Spring
16.6,696.4,99.0,6.4,124.1,161.4,99.7,125.9,Sandy Loam,Fall
20.6,714.1,99.5,6.9,136.8,162.5,97.9,140.2,Sandy Loam,Spring
18.9,707.8,99.5,6.7,128.6,163.9,98.2,130.2,Sandy Loam,Spring
17.1,715.0,98.6,6.6,119.8,169.4,87.9,139.7,Sandy Loam,Spring
21.2,743.1,99.5,6.2,126.7,152.2,101.9,137.4,Sandy Loam,Spring
19.8,679.8,98.9,6.4,125.5,163.1,101.5,130.0,Sandy Loam,Spring
20.9,643.9,99.2,6.3,112.6,159.7,109.2,125.1,Sandy Loam,Spring
19.1,702.9,99.2,6.4,112.7,170.3,103.1,131.9,Sandy Loam,Spring
19.0,702.8,98.8,6.5,121.9,168.2,104.8,118.5,Sandy Loam,Spring
19.3,781.8,98.9,6.6,116.1,157.7,91.6,119.1,Sandy Loam,Spring
21.0,697.9,99.5,6.6,114.6,155.7,101.6,124.4,Sandy Loam,Spring
17.1,698.3,99.2,6.8,112.1,156.1,100.5,121.9,Sandy Loam,Fall
21.0,697.3,99.2,6.3,124.7,155.7,102.5,133.0,Sandy Loam,Spring
20.1,749.4,99.9,6.6,122.3,139.6,98.3,135.5,Sandy Loam,Spring
21.7,699.6,98.7,6.4,115.2,168.8,108.5,117.3,Sandy Loam,Fall
18.3,767.6,99.3,6.5,113.0,169.6,99.5,112.6,Sandy Loam,Fall
20.7,732.2,99.3,6.4,124.0,156.4,96.9,137.0,Sandy Loam,Spring
20.7,741.2,98.5,6.6,114.5,160.3,91.8,120.4,Sandy Loam,Fall
22.8,631.1,97.8,6.4,122.2,157.2,91.4,125.6,Sandy Loam,Fall
20.6,672.3,99.5,6.6,113.7,170.8,104.5,114.6,Sandy Loam,Fall
